district,rps01,rps02,rps03,rps04,rps05,rps06,rps07,rps08,rps09,rps10,rps11,rps12,rps13,rps14,rps15,rps16,rps17,rps18,rps19,rps20,rps21,rps22,rps23,rps24,rps25,rps26,rps27,rps28,rps29,rps30,rps31,rps32
五股區,房地(土地+建物)+車位,新北市五股區新五路三段１９２號十四樓,11.22,商,,,1090226,土地1建物1車位1,十四層,十九層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土造,1120703,114.33,2,2,1,有,有,8029000,80790,坡道平面,36.61,1750000,預售屋、或土地及建物分件登記案件；,RPSSMLPKRHIGFBF09DA,46.75,2.09,3.57,有,
五股區,房地(土地+建物)+車位,新北市五股區新五路三段１９６號十樓,13.55,商,,,1090220,土地1建物1車位1,十層,十九層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土造,1120703,134.29,3,2,2,有,有,10000000,83948,坡道平面,36.61,1800000,民國112年3月3日讓渡預售屋、或土地及建物分件登記案件；,RPQRMLPKRHIGFBF78DA,57.95,3.07,4.97,有,
五股區,房地(土地+建物)+車位,新北市五股區新五路三段１８６號十樓,13.55,商,,,1090218,土地1建物1車位1,十層,十九層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土造,1120703,133.81,3,2,2,有,有,9180000,73868,坡道平面,36.61,2000000,民國112年3月30日讓渡預售屋、或土地及建物分件登記案件；,RPQRMLQKRHIGFBF88DA,56.75,4.18,4.58,有,
五股區,房地(土地+建物),新北市五股區新五路三段２００號十樓,8.65,商,,,1090209,土地1建物1車位0,十層,十九層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土造,1120703,69.34,2,2,1,有,有,6150000,88693,,0,0,預售屋、或土地及建物分件登記案件；,RPVSMLPKRHIGFBF76DA,43.7,0,3.02,有,
五股區,房地(土地+建物)+車位,新北市五股區新五路三段１９０號十樓,10.98,商,,,1090204,土地1建物1車位1,十層,十九層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土造,1120703,113.56,2,2,1,有,有,8300000,85120,坡道平面,36.61,1750000,預售屋、或土地及建物分件登記案件；,RPOTMLPKRHIGFBF78DA,45.28,3.48,3.11,有,
五股區,房地(土地+建物)+車位,新北市五股區新五路三段１８６號十七樓,13.55,商,,,1090210,土地1建物1車位1,十七層,十九層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土造,1120703,133.95,3,2,2,有,有,10500000,88350,坡道平面,36.61,1900000,預售屋、或土地及建物分件登記案件；,RPRUMLPKRHIGFBF56DA,56.75,4.32,4.58,有,
五股區,房地(土地+建物)+車位,新北市五股區新五路三段１８８號七樓,13.55,商,,,1090110,土地1建物1車位1,七層,十九層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土造,1120703,133.95,3,2,2,有,有,10000000,84754,坡道平面,36.61,1750000,預售屋、或土地及建物分件登記案件；,RPTTMLPKRHIGFBF66DA,56.75,4.32,4.58,有,
五股區,房地(土地+建物)+車位,新北市五股區新五路三段１８８號八樓,13.55,商,,,1090104,土地1建物1車位1,八層,十九層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土造,1120703,133.95,3,2,2,有,有,10010000,83830,坡道平面,36.61,1850000,預售屋、或土地及建物分件登記案件；,RPUTMLPKRHIGFBF76DA,56.75,4.32,4.58,有,
五股區,房地(土地+建物)+車位,新北市五股區新五路三段１８６號八樓,13.55,商,,,1090109,土地1建物1車位1,八層,十九層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土造,1120703,133.95,3,2,2,有,有,9900000,83727,坡道平面,36.61,1750000,預售屋、或土地及建物分件登記案件；,RPPUMLPKRHIGFBF98DA,56.75,4.32,4.58,有,
五股區,房地(土地+建物),新北市五股區新五路三段２００號四樓,8.65,商,,,1090111,土地1建物1車位0,四層,十九層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土造,1120703,69.34,2,2,1,有,有,6000000,86530,,0,0,民國111年6月2日轉讓，交易總額新台幣640萬元整預售屋、或土地及建物分件登記案件；,RPUSMLPKRHIGFBF66DA,43.7,0,3.02,有,
五股區,房地(土地+建物),新北市五股區新五路三段２００號六樓,8.65,商,,,1090118,土地1建物1車位0,六層,十九層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土造,1120703,69.34,2,2,1,有,有,6100000,87972,,0,0,預售屋、或土地及建物分件登記案件；,RPSQMLQKRHIGFBF98DA,43.7,0,3.02,有,
五股區,房地(土地+建物)+車位,新北市五股區新五路三段１８８號十七樓,14.96,商,,,1090117,土地1建物1車位2,十七層,十九層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土造,1120703,170.56,3,2,2,有,有,11680000,80953,坡道平面,73.22,3800000,民國112年3月17日讓渡預售屋、或土地及建物分件登記案件；,RPXTMLPKRHIGFBF07DA,56.75,4.32,4.58,有,
