district,rps01,rps02,rps03,rps04,rps05,rps06,rps07,rps08,rps09,rps10,rps11,rps12,rps13,rps14,rps15,rps16,rps17,rps18,rps19,rps20,rps21,rps22,rps23,rps24,rps25,rps26,rps27,rps28,rps29,rps30,rps31,rps32
板橋區,房地(土地+建物),新北市板橋區長安街２１號三樓,49.2,都市：其他:住宅區,,,1121128,土地2建物2車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681123,158.42,4,2,2,有,無,21000000,132559,,0,0,拆價及基地持分如下長安街21號三樓基地土地持分各1/5價錢為新台幣壹仟零伍拾萬元長安街21號四樓基地土地持分各1/5價錢為新台幣壹仟零伍拾萬元,RPTNMLQJJHJGFAF87DA,158.42,0,0,無,
板橋區,房地(土地+建物),新北市板橋區國泰街７０號四樓之二十九,7.17,商,,,1121120,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660516,30.6,1,0,1,有,無,5200000,169935,,0,0,陽台外推；,RPRNMLRJJHJGFAF77DA,24.6,0,6,無,
板橋區,房地(土地+建物),新北市板橋區大仁街７８號三樓,25.6,住,,,1121129,土地3建物1車位0,三層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690517,103.22,4,2,2,有,無,13100000,126913,,0,0,,RPQNMLSJJHJGFAF77DA,103.22,0,0,無,
板橋區,房地(土地+建物),新北市板橋區實踐路１４９號二樓,22,住,,,1121122,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700721,83.67,3,2,2,有,無,13500000,161348,,0,0,,RPPNMLSJJHJGFAF77EA,77.37,0,6.3,無,
板橋區,房地(土地+建物),新北市板橋區實踐路１４９號,22,住,,,1121122,土地1建物1車位0,一層，騎樓,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0700721,83.67,1,0,1,有,無,32500000,388431,,0,0,,RPQNMLSJJHJGFAF87EA,77.37,6.3,0,無,
板橋區,房地(土地+建物),新北市板橋區忠孝路４８巷５弄９號五樓,17.1,住,,,1121006,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720604,63.2,2,2,1,有,無,7120000,112658,,0,0,陽台外推；頂樓加蓋；夾層；其他增建；,RPPOMLQLKIIGFAF87DA,54.78,0,8.42,無,
板橋區,房地(土地+建物),新北市板橋區國慶路１４９巷４４弄６號,29.97,住,,,1121023,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0721005,93.79,3,1,1,有,無,6360000,67811,,0,0,親友、員工、共有人或其他特殊關係間之交易；其他增建；,RPPPMLSKKIIGFAF18EA,85.44,8.35,0,無,
板橋區,房地(土地+建物),新北市板橋區四維路２５９巷５８號五樓,25,住,,,1121011,土地4建物1車位0,五層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,77.49,3,2,1,有,無,11000000,141954,,0,0,陽台外推；頂樓加蓋；其他增建；,RPWRMLSJKIIGFAF88DA,77.49,0,0,無,
板橋區,房地(土地+建物),新北市板橋區中山路一段２８３巷３弄１８號,20,住,,,1121028,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0651108,47.04,3,1,2,有,無,10350000,220026,,0,0,其他增建；,RPQOMLTKKIIGFAF18DA,47.04,0,0,無,
板橋區,房地(土地+建物),新北市板橋區四維路１３７巷１弄１７號二樓,23,住,,,1121014,土地1建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,73.83,3,1,1,有,無,12280000,166328,,0,0,,RPQOMLRLKIIGFAF08DA,73.83,0,0,無,0432
板橋區,房地(土地+建物)+車位,新北市板橋區漢生西路１７７之１號十九樓,7.67,住,,,1121020,土地1建物1車位1,十九層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090727,88.7,2,2,1,有,有,17200000,224094,坡道機械,18.64,1500000,,RPWOMLSLKIIGFAF78DA,40.28,0,3.89,有,
板橋區,房地(土地+建物)+車位,新北市板橋區漢生西路１７７之１號十八樓,7.67,住,,,1121020,土地1建物1車位1,十八層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090727,88.7,2,2,1,有,有,16620000,222952,坡道機械,18.64,1000000,,RPXOMLSLKIIGFAF88DA,40.28,0,3.89,有,
板橋區,房地(土地+建物)+車位,新北市板橋區民族路９８號二樓,34.73,商,,,1121002,土地1建物1車位2,二層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1030916,279.13,3,2,2,有,有,54880000,229609,坡道平面,61.02,4800000,,RPPRMLSLKIIGFAF38DA,122.28,13.83,9.24,有,
板橋區,房地(土地+建物)+車位,新北市板橋區民族路９８之３號二樓,26.06,商,,,1121002,土地1建物1車位2,二層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1030916,222.84,3,2,2,有,有,42680000,236574,坡道平面,61.02,4400000,,RPSRMLSLKIIGFAF68DA,92.65,10.87,4.29,有,
板橋區,房地(土地+建物)+車位,新北市板橋區民族路９８之３號十樓,25.1,商,,,1121001,土地1建物1車位2,十層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1030916,218.54,3,2,2,有,有,43400000,247603,坡道平面,61.02,4400000,,RPTRMLSLKIIGFAF78DA,92.89,7.8,4.29,有,
板橋區,房地(土地+建物)+車位,新北市板橋區民族路９８之３號十五樓,25.1,商,,,1121001,土地1建物1車位2,十五層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1030916,218.54,3,2,2,有,有,44380000,255095,坡道平面,61.02,4200000,,RPURMLSLKIIGFAF88DA,92.89,7.8,4.29,有,
板橋區,房地(土地+建物)+車位,新北市板橋區四川路二段１２３號五樓之１５,8.16,住,,,1121022,土地1建物1車位1,五層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890412,108.9,2,3,1,有,有,15450000,141873,坡道平面,0,2500000,夾層；其他增建；,RPXOMLLJKIIGFAF97DA,42.13,0,3.25,有,
板橋區,房地(土地+建物)+車位,新北市板橋區遠東路８２號十五樓,29.96,都市：其他:通訊數位專用區,,,1121004,土地1建物1車位1,十五層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110720,171.81,3,2,2,有,有,41480000,281673,坡道平面,33.6,2550000,,RPPRMLRLKIIGFAF28DA,84.09,0,5.29,有,
板橋區,房地(土地+建物)+車位,新北市板橋區遠東路８６號十五樓,29.96,都市：其他:通訊數位專用區,,,1121014,土地1建物1車位1,十五層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110720,171.81,3,2,2,有,有,37350000,251791,坡道平面,33.6,2550000,,RPWRMLRLKIIGFAF98DA,84.09,0,5.29,有,
板橋區,房地(土地+建物)+車位,新北市板橋區遠東路８６號十七樓,29.96,都市：其他:通訊數位專用區,,,1121028,土地1建物1車位1,十七層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110720,171.81,3,2,2,有,有,41000000,278200,坡道平面,33.6,2550000,,RPXRMLRLKIIGFAF09DA,84.09,0,5.29,有,
板橋區,房地(土地+建物),新北市板橋區大智街４２巷３號五樓,34,住,,,1121030,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730517,107.72,5,2,3,有,無,11200000,103973,,0,0,頂樓加蓋；,RPPNMLOJJHJGFAF37EA,94.65,0,13.07,無,
板橋區,房地(土地+建物),新北市板橋區富山街２８巷１０號二樓,18.5,住,,,1121003,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0631226,66.9,3,1,1,有,無,7500000,112108,,0,0,陽台外推；其他增建；,RPSPMLRJKIIGFAF18DA,55.09,0,11.81,無,
板橋區,土地,光仁段936地號,45,住,,,1121023,土地1建物0車位0,,,其他,,,,0,0,0,0,無,無,13000000,288889,,0,0,地上物門牌新北市板橋區富山街109巷23號未辦保存登記未登記建物；,RPOOMLOJJHJGFAF27DA,0,0,0,無,
板橋區,房地(土地+建物),新北市板橋區新海路１７０號五樓,2.74,商,,,1121028,土地1建物1車位0,五層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0900724,49.49,0,1,1,有,有,11200000,226308,,0,0,夾層；,RPSPMLOKKIIGFAF97DA,32.88,0,3.64,有,
板橋區,房地(土地+建物),新北市板橋區漢生西路１７１之１號四樓,7.1,住,,,1121011,土地1建物1車位0,四層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090727,68.47,2,2,1,有,有,14280000,208558,,0,0,,RPVPMLOJJHJGFAF08DA,41.09,0,3.44,有,
板橋區,房地(土地+建物)+車位,新北市板橋區漢生西路１７３號二十三樓,7.44,住,,,1121023,土地1建物1車位1,二十三層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090727,84.13,2,2,1,有,有,16930000,226690,坡道機械,14.74,1200000,,RPPNMLPJJHJGFAF47EA,41.69,0,3.44,有,
板橋區,房地(土地+建物)+車位,新北市板橋區長江路二段８１號二樓,39.5,住,,,1120930,土地1建物1車位5,二層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860630,350.92,4,2,2,有,有,28500000,128613,坡道平面,203.19,9500000,,RPQSMLSLJIIGFAF48DA,110.06,0.97,8.7,有,
板橋區,房地(土地+建物)+車位,新北市板橋區遠東路７２號七樓,33.86,都市：其他:通訊數位專用區,,,1120921,土地1建物1車位1,七層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110720,189.75,3,2,2,有,有,42100000,253282,坡道平面,33.6,2550000,,RPWQMLRLKIIGFAF88DA,94.62,0,6.34,有,
板橋區,房地(土地+建物)+車位,新北市板橋區遠東路７２號十三樓,33.86,都市：其他:通訊數位專用區,,,1120920,土地1建物1車位1,十三層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110720,189.75,3,2,2,有,有,44180000,266603,坡道平面,33.6,2550000,,RPXQMLRLKIIGFAF98DA,94.62,0,6.34,有,
板橋區,房地(土地+建物)+車位,新北市板橋區遠東路８０號二十六樓,24.11,都市：其他:通訊數位專用區,,,1120920,土地1建物1車位1,二十六層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110720,144.83,3,2,2,有,有,34330000,287512,坡道平面,33.6,2350000,,RPORMLRLKIIGFAF18DA,68.03,0,3.9,有,
板橋區,房地(土地+建物)+車位,新北市板橋區遠東路８６號四樓,29.96,都市：其他:通訊數位專用區,,,1120906,土地1建物1車位1,四層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110720,171.81,3,2,2,有,有,35600000,240576,坡道平面,33.6,2350000,,RPQRMLRLKIIGFAF38DA,84.09,0,5.29,有,
板橋區,房地(土地+建物)+車位,新北市板橋區遠東路８６號五樓,29.96,都市：其他:通訊數位專用區,,,1120910,土地1建物1車位1,五層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110720,171.81,3,2,2,有,有,36200000,244917,坡道平面,33.6,2350000,,RPRRMLRLKIIGFAF48DA,84.09,0,5.29,有,
